sender,receiver,subject,session,condition,moralCondition,condition2,neighbor
Participant J,Participant L,21,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant A,Participant C,22,2djdfaey,gunsR,outrage,gunsR_outrage,n4
Participant G,Participant I,23,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant I,Participant K,24,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant L,Participant B,25,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant A,Participant C,26,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant E,Participant G,27,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant K,Participant A,28,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant C,Participant E,29,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant F,Participant H,30,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant H,Participant J,31,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant J,Participant L,32,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant B,Participant D,33,34upvoji,gunsR,neutral,gunsR_neutral,n4
Participant E,Participant G,34,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant J,Participant L,35,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant F,Participant H,36,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant B,Participant D,37,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant K,Participant A,38,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant L,Participant B,39,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant H,Participant J,40,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant I,Participant K,41,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant A,Participant C,42,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant G,Participant I,43,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant C,Participant E,44,7st92i94,gunsR,outrage,gunsR_outrage,n4
Participant E,Participant G,45,kv9ecle8,guns,outrage,guns_outrage,n4
Participant F,Participant H,46,kv9ecle8,guns,outrage,guns_outrage,n4
Participant B,Participant D,47,kv9ecle8,guns,outrage,guns_outrage,n4
Participant A,Participant C,48,kv9ecle8,guns,outrage,guns_outrage,n4
Participant C,Participant E,49,kv9ecle8,guns,outrage,guns_outrage,n4
Participant J,Participant L,50,kv9ecle8,guns,outrage,guns_outrage,n4
Participant H,Participant J,51,kv9ecle8,guns,outrage,guns_outrage,n4
Participant I,Participant K,52,kv9ecle8,guns,outrage,guns_outrage,n4
Participant K,Participant A,53,kv9ecle8,guns,outrage,guns_outrage,n4
Participant L,Participant B,54,kv9ecle8,guns,outrage,guns_outrage,n4
Participant G,Participant I,55,kv9ecle8,guns,outrage,guns_outrage,n4
Participant A,Participant C,56,ntsj19eg,guns,neutral,guns_neutral,n4
Participant J,Participant L,57,ntsj19eg,guns,neutral,guns_neutral,n4
Participant L,Participant B,58,ntsj19eg,guns,neutral,guns_neutral,n4
Participant H,Participant J,59,ntsj19eg,guns,neutral,guns_neutral,n4
Participant B,Participant D,60,ntsj19eg,guns,neutral,guns_neutral,n4
Participant E,Participant G,61,ntsj19eg,guns,neutral,guns_neutral,n4
Participant G,Participant I,62,ntsj19eg,guns,neutral,guns_neutral,n4
Participant C,Participant E,63,ntsj19eg,guns,neutral,guns_neutral,n4
Participant I,Participant K,64,ntsj19eg,guns,neutral,guns_neutral,n4
Participant K,Participant A,65,ntsj19eg,guns,neutral,guns_neutral,n4
Participant F,Participant H,66,ntsj19eg,guns,neutral,guns_neutral,n4
Participant H,Participant J,67,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant E,Participant G,68,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant J,Participant L,69,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant F,Participant H,70,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant G,Participant I,71,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant I,Participant K,72,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant K,Participant A,73,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant A,Participant C,74,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant L,Participant B,75,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant B,Participant D,76,wyk984vb,gunsR,neutral,gunsR_neutral,n4
Participant C,Participant E,77,wyk984vb,gunsR,neutral,gunsR_neutral,n4
